main_product_category,order_count,late_orders,average_review_score,average_delivery_days,average_freight_value,average_item_value,late_delivery_rate
agro_industry_and_commerce,177,7,4.107344632768362,11.0,31.84858757062147,398.6785310734464,0.03954802259887006
air_conditioning,246,10,4.115702479338843,11.414634146341463,26.79739837398374,217.50630081300815,0.04065040650406504
art,194,12,4.114583333333333,10.79896907216495,20.040206185567012,122.46855670103092,0.061855670103092786
arts_and_craftmanship,23,1,4.173913043478261,5.391304347826087,17.163478260869564,80.29478260869566,0.043478260869565216
audio,348,41,3.8391304347826085,13.028735632183908,16.63580459770115,149.8778735632184,0.11781609195402298
auto,3804,278,4.147120972002113,11.88088351301604,23.86120662460568,152.71693217665614,0.07308096740273397
baby,2794,226,4.1105699855699855,12.234073013600574,24.19948460987831,145.40002505368648,0.08088761632068718
bed_bath_table,9240,689,4.003171131765992,12.531926406926408,22.150876623376625,112.13125324675325,0.07456709956709957
books_general_interest,495,32,4.5336048879837065,11.105263157894736,18.06351515151515,91.68749494949495,0.06464646464646465
books_imported,50,2,4.44,7.72,15.025799999999998,88.62719999999999,0.04
books_technical,256,21,4.427450980392157,10.21484375,16.7090234375,73.7112890625,0.08203125
cds_dvds_musicals,12,0,4.666666666666667,10.5,18.749166666666667,60.833333333333336,0.0
christmas_supplies,125,10,4.1138211382113825,14.936,25.569599999999998,70.03072,0.08
cine_photo,63,4,4.333333333333333,10.031746031746032,19.98079365079365,109.49761904761905,0.06349206349206349
computers,176,10,4.242774566473988,13.5,54.83255681818182,1234.6257954545456,0.056818181818181816
computers_accessories,6520,417,4.082293111419325,12.731553919312779,22.20353527607362,136.85034202453988,0.06395705521472393
consoles_games,1016,62,4.182224428997021,13.293307086614174,18.83617125984252,146.06762795275588,0.0610236220472441
construction_tools_construction,731,54,4.1411845730027546,10.411764705882353,28.080902872777017,195.966634746922,0.07387140902872777
construction_tools_lights,237,16,4.183760683760684,9.354430379746836,32.21194092827004,186.18227848101264,0.06751054852320675
construction_tools_safety,155,4,4.0,11.23225806451613,25.47258064516129,252.9103870967742,0.025806451612903226
cool_stuff,3516,209,4.234375,11.945676905574517,23.091706484641637,172.77190273037542,0.05944254835039818
costruction_tools_garden,186,10,4.279569892473118,11.559139784946236,27.406827956989247,128.25021505376344,0.053763440860215055
costruction_tools_tools,97,6,4.425531914893617,11.762886597938145,20.930103092783504,163.95824742268042,0.061855670103092786
diapers_and_hygiene,25,0,3.96,9.96,21.816,60.0316,0.0
drinks,285,15,4.245614035087719,9.919298245614035,19.35515789473684,77.3579649122807,0.05263157894736842
dvds_blu_ray,55,4,4.181818181818182,12.527272727272727,22.16618181818182,82.86527272727272,0.07272727272727272
electronics,2509,192,4.128112449799197,12.463531287365484,18.348114786767635,62.303929852530885,0.07652451175767237
fashio_female_clothing,36,2,3.9166666666666665,12.416666666666666,16.735,74.99805555555557,0.05555555555555555
fashion_bags_accessories,1816,102,4.240873893805309,10.75715859030837,16.927753303964757,82.4794383259912,0.05616740088105727
fashion_childrens_clothes,5,0,5.0,8.6,12.428,87.994,0.0
fashion_male_clothing,106,5,3.8190476190476192,12.377358490566039,19.45867924528302,98.60688679245283,0.04716981132075472
fashion_shoes,233,11,4.286026200873362,15.253218884120171,20.52884120171674,98.42343347639485,0.04721030042918455
fashion_sport,24,1,4.541666666666667,9.791666666666666,22.2375,82.06791666666668,0.041666666666666664
fashion_underwear_beach,117,11,4.008620689655173,13.564102564102564,15.846752136752135,79.53803418803419,0.09401709401709402
fixed_telephony,212,10,3.9665071770334928,12.080188679245284,21.33608490566038,261.2957075471698,0.04716981132075472
flowers,27,1,4.538461538461538,11.333333333333334,17.351111111111113,37.90148148148148,0.037037037037037035
food,436,31,4.324074074074074,9.357798165137615,16.114908256880735,65.52727064220183,0.07110091743119266
food_drink,220,8,4.443181818181818,10.436363636363636,20.21490909090909,68.56072727272728,0.03636363636363636
furniture_bedroom,88,6,4.261363636363637,13.375,48.72,212.9686363636364,0.06818181818181818
furniture_decor,6208,446,4.073109380071405,12.641430412371134,27.23206829896907,115.24562338917525,0.07184278350515463
furniture_living_room,403,31,4.108040201005025,13.575682382133994,43.15255583126551,164.86086848635233,0.07692307692307693
furniture_mattress_and_upholstery,37,5,3.891891891891892,13.891891891891891,42.739729729729724,116.84810810810811,0.13513513513513514
garden_tools,3411,225,4.192568563845473,13.20257988859572,28.209938434476694,137.8409264145412,0.06596306068601583
health_beauty,8621,649,4.232283770651118,11.628929358543093,20.788913119127713,143.23079805127014,0.07528128987356456
home_appliances,747,33,4.216173835125448,10.88888888888889,19.36987951807229,105.53210174029451,0.04417670682730924
home_appliances_2,226,14,4.155555555555556,13.4070796460177,45.14800884955753,477.0130530973451,0.061946902654867256
home_comfort_2,23,3,3.9545454545454546,14.043478260869565,18.48304347826087,36.055217391304346,0.13043478260869565
home_confort,346,35,3.9505813953488373,13.283236994219653,22.54554913294798,154.3450578034682,0.10115606936416185
home_construction,460,29,4.0873362445414845,13.123913043478261,27.71763043478261,171.5637391304348,0.06304347826086956
housewares,5671,308,4.207379811956715,10.645212484570623,25.07253041791571,108.06895961911478,0.05431140892258861
industry_commerce_and_business,229,16,4.237885462555066,10.482456140350877,32.94410480349345,166.92925764192142,0.06986899563318777
kitchen_dining_laundry_garden_furniture,236,11,4.128205128205129,11.521186440677965,48.29237288135593,192.0575847457627,0.046610169491525424
la_cuisine,11,0,4.545454545454546,6.545454545454546,29.33,172.1809090909091,0.0
luggage_accessories,1011,43,4.380337636544191,10.415430267062314,29.744193867457962,136.7978338278932,0.04253214638971316
market_place,264,11,4.133587786259542,11.943181818181818,19.594583333333333,102.95125,0.041666666666666664
music,37,2,4.297297297297297,11.054054054054054,18.568648648648647,165.9156756756757,0.05405405405405406
musical_instruments,606,46,4.24,12.661716171617162,29.496699669966997,303.8749174917492,0.07590759075907591
office_furniture,1244,101,3.6543760129659644,20.258038585209004,53.59639871382637,214.80332797427656,0.08118971061093247
party_supplies,37,0,4.081081081081081,8.64864864864865,21.808108108108108,118.52135135135136,0.0
perfumery,3070,202,4.264869281045752,11.464820846905537,17.257622149837132,127.03888599348534,0.06579804560260587
pet_shop,1679,86,4.283064033512867,10.93627159023228,23.182727814175106,126.04955926146515,0.05122096486003574
security_and_services,2,0,2.5,15.0,20.61,141.64499999999998,0.0
signaling_and_security,137,6,4.139705882352941,10.416058394160585,47.12569343065694,155.03029197080292,0.043795620437956206
small_appliances,604,29,4.270450751252087,10.562913907284768,25.218774834437085,300.38778145695363,0.048013245033112585
small_appliances_home_oven_and_coffee,72,4,4.430555555555555,9.5,36.89361111111111,647.0772222222222,0.05555555555555555
sports_leisure,7478,493,4.238095238095238,11.797378627791895,21.77362530088259,127.40959347419097,0.06592671837389677
stationery,2241,148,4.304084380610413,12.366354306113342,20.308625613565372,99.46762605979474,0.06604194556001784
tablets_printing_image,76,4,4.162162162162162,12.671052631578947,15.897368421052633,95.73039473684211,0.05263157894736842
telephony,4071,291,4.058067704472449,12.49349054286416,16.979828052075657,75.89378776713338,0.07148120854826824
toys,3759,241,4.248189863234111,11.294837679616817,20.001625432295825,124.30840649108805,0.06411279595637137
watches_gifts,5455,406,4.1296398891966755,12.365303502659087,17.895664527956004,212.68819248395968,0.07442713107241063
